id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1152099718782173184,Fri Jul 19 06:15:52 +0000 2019,"<a href=""http://andrewmmorris.com/"" rel=""nofollow"">Autism_twitter</a>","RT @kentautistic: Have you got your tickets for The Kent Autistic Trust conference on Epilepsy and Autism. 

On Friday 20th September 2019.…",RT kentautistic Have got tickets The Kent Autistic Trust conference Epilepsy Autism On Friday 20th September 2019.…,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1,en,0,3,andrewmorrisuk,,,kentautistic,Bedford,
1152098245457383424,Fri Jul 19 06:10:01 +0000 2019,"<a href=""https://socialbee.io/"" rel=""nofollow"">SocialBee.io v2</a>","RT @aMundaneSarah: There isn't enough information about seizures, so people react in some very stronge ways. | https://t.co/GfqvGTpxyL | #e…",RT aMundaneSarah There n't enough information seizures people react stronge ways https //t.co/GfqvGTpxyL e…,"Sentiment(polarity=-0.025, subjectivity=0.25)",-0.025,0.25,en,0,5,aMundaneSarah,False,,aMundaneSarah,"East Midlands, England",
1152098155380510720,Fri Jul 19 06:09:39 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @kentautistic: Have you got your tickets for The Kent Autistic Trust conference on Epilepsy and Autism. 

On Friday 20th September 2019.…",RT kentautistic Have got tickets The Kent Autistic Trust conference Epilepsy Autism On Friday 20th September 2019.…,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1,en,0,3,Autism_Alliance,,,kentautistic,,
1152097834860257280,Fri Jul 19 06:08:23 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @epilepsysociety: Memory can be one of the key issues that affects people with #epilepsy. This can be due to the type of seizures they h…,RT epilepsysociety Memory one key issues affects people epilepsy This due type seizures h…,"Sentiment(polarity=-0.05833333333333333, subjectivity=0.4583333333333333)",-0.05833333333333333,0.4583333333333333,en,0,14,amwireless65,,epilepsy,epilepsysociety,"Bath, UK",
1152096356921696257,Fri Jul 19 06:02:31 +0000 2019,"<a href=""http://epmatch.com"" rel=""nofollow"">EpMatch</a>",RT @_Erika_Brooks: #Autism #DevelopmentalDelays #Epilepsy #cerebralpalsy #ADHD #SpecialNeeds #bpd #Bipolar #church #inclusionMatters #Sunda…,RT _Erika_Brooks Autism DevelopmentalDelays Epilepsy cerebralpalsy ADHD SpecialNeeds bpd Bipolar church inclusionMatters Sunda…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,epstrong,,"Autism, DevelopmentalDelays, Epilepsy, cerebralpalsy, ADHD, SpecialNeeds, bpd, Bipolar, church, inclusionMatters",_Erika_Brooks,,
1152095082729758720,Fri Jul 19 05:57:27 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#Autism #DevelopmentalDelays #Epilepsy #cerebralpalsy #ADHD #SpecialNeeds #bpd #Bipolar #church #inclusionMatters… https://t.co/IgAZUX8AlF,Autism DevelopmentalDelays Epilepsy cerebralpalsy ADHD SpecialNeeds bpd Bipolar church inclusionMatters… https //t.co/IgAZUX8AlF,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,2,1,_Erika_Brooks,False,"Autism, DevelopmentalDelays, Epilepsy, cerebralpalsy, ADHD, SpecialNeeds, bpd, Bipolar, church, inclusionMatters",,"Washington, USA",
1152094208938905600,Fri Jul 19 05:53:58 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CannPass: ""Sometimes I wonder: would Tamsin have lived a more normal life if she had been able to access medical cannabis?"" #epilepsy #…",RT CannPass `` Sometimes I wonder would Tamsin lived normal life able access medical cannabis '' epilepsy …,"Sentiment(polarity=0.21666666666666667, subjectivity=0.425)",0.21666666666666667,0.425,en,0,10,ourmark36,,epilepsy,CannPass,"Harrogate, England",
1152091256937488384,Fri Jul 19 05:42:15 +0000 2019,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @CureEpilepsy: #InfantileSpasms is a neurologic emergency. Learn about this severe form of pediatric #epilepsy and what steps parents ne…,RT CureEpilepsy InfantileSpasms neurologic emergency Learn severe form pediatric epilepsy steps parents ne…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,9,JohnMillichapMD,,"InfantileSpasms, epilepsy",CureEpilepsy,Chicago,
1152088138703167490,Fri Jul 19 05:29:51 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @epileptologo: Multifocal #epilepsy is a term we use when the seizures start in multiple areas of the brain (more than one focus). If yo…,RT epileptologo Multifocal epilepsy term use seizures start multiple areas brain one focus If yo…,"Sentiment(polarity=-0.025, subjectivity=0.0)",-0.025,0.0,en,0,7,MultiPapaEZ,,epilepsy,epileptologo,"Málaga, Spain",
1152086664627531776,Fri Jul 19 05:24:00 +0000 2019,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","A family's battle with childhood #epilepsy - imagine 50-60 seizures a day?
https://t.co/mZyvyFw77u via… https://t.co/XM8gFwWQMC",A family 's battle childhood epilepsy imagine 50-60 seizures day https //t.co/mZyvyFw77u via… https //t.co/XM8gFwWQMC,"Sentiment(polarity=-0.05, subjectivity=0.0)",-0.05,0.0,en,0,0,ACMVora,False,epilepsy,,Australia,
