id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1152100768767455237,Fri Jul 19 06:20:02 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @SaveChildsHeart: 2 weeks ago, Doctor Mike visited save a child’s heart with @amvoicesnisrael . Hear what he has to say about his visit…",RT SaveChildsHeart 2 weeks ago Doctor Mike visited save child ’ heart amvoicesnisrael Hear say visit…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,8,StarColombo,,,"SaveChildsHeart, amvoicesnisrael",,
1152099904090779649,Fri Jul 19 06:16:36 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiabetologiaJnl: Diabetes is a risk factor for heart failure for both women and men, with a greater excess risk in women than men: #dia…",RT DiabetologiaJnl Diabetes risk factor heart failure women men greater excess risk women men dia…,"Sentiment(polarity=0.09166666666666665, subjectivity=0.4)",0.09166666666666665,0.4,en,0,1,nicmiln,,,DiabetologiaJnl,"Manchester, England",
1152099840156950529,Fri Jul 19 06:16:21 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@CBallantyneMD Thank you for your engaging editorial! The evidence that we presented is from EPIC-NL; I definitely… https://t.co/QkSPMZSUJi,CBallantyneMD Thank engaging editorial The evidence presented EPIC-NL I definitely… https //t.co/QkSPMZSUJi,"Sentiment(polarity=0.4, subjectivity=0.7)",0.4,0.7,en,0,0,alicia_uijl,,,CBallantyneMD,"Stockholm, Sverige",
1152099499457830912,Fri Jul 19 06:15:00 +0000 2019,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Diabetes is a risk factor for heart failure for both women and men, with a greater excess risk in women than men:… https://t.co/Was5ELY36B",Diabetes risk factor heart failure women men greater excess risk women men … https //t.co/Was5ELY36B,"Sentiment(polarity=0.09166666666666665, subjectivity=0.4)",0.09166666666666665,0.4,en,1,1,DiabetologiaJnl,False,,,,
1152098244735860737,Fri Jul 19 06:10:01 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Management of Patients With Acute Ischemic #Stroke https://t.co/pVZl5SxKIr,Management Patients With Acute Ischemic Stroke https //t.co/pVZl5SxKIr,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,en,0,0,JagadishChhetri,False,Stroke,,"Asia, Nepal,China, France,Europe",
1152097877440831488,Fri Jul 19 06:08:33 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @CBallantyneMD: Risk for Heart Failure https://t.co/nSSUzOqwbI
Seven Metrics That Will Determine Your Cardiovascular Success or Failure…",RT CBallantyneMD Risk Heart Failure https //t.co/nSSUzOqwbI Seven Metrics That Will Determine Your Cardiovascular Success Failure…,"Sentiment(polarity=-0.00833333333333336, subjectivity=0.15)",-0.00833333333333336,0.15,en,0,6,alicia_uijl,False,,CBallantyneMD,"Stockholm, Sverige",
1152097468542345216,Fri Jul 19 06:06:56 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Improvements in healthy #lifestyle were associated with a 50% risk reduction in #heartfailure: an opportunity for… https://t.co/MqzkIxlbFp,Improvements healthy lifestyle associated 50 risk reduction heartfailure opportunity for… https //t.co/MqzkIxlbFp,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,2,0,alicia_uijl,False,"lifestyle, heartfailure",,"Stockholm, Sverige",
1152097265231642624,Fri Jul 19 06:06:07 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @teaminspire: What Are the Warning Signs of a Stroke? https://t.co/roo2HTf84w #stroke,RT teaminspire What Are Warning Signs Stroke https //t.co/roo2HTf84w stroke,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,stopcancernow,False,stroke,teaminspire,United States,
1152097179273768960,Fri Jul 19 06:05:47 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sharon Stone: People Were 'Brutally Unkind' After #Stroke   #SharonStone  https://t.co/r80PpPCziq,Sharon Stone People Were 'Brutally Unkind After Stroke SharonStone https //t.co/r80PpPCziq,"Sentiment(polarity=-0.875, subjectivity=1.0)",-0.875,1.0,en,0,0,TheTraceC,False,"Stroke, SharonStone",,New York,
1152096863224520709,Fri Jul 19 06:04:31 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @stergaard_leif: Privilege to be part of call for action just out in A&amp;D☺️! 
Thanks to Vladimir Hachinski for leading this important eff…",RT stergaard_leif Privilege part call action A amp D☺️ Thanks Vladimir Hachinski leading important eff…,"Sentiment(polarity=0.23333333333333336, subjectivity=0.43333333333333335)",0.23333333333333336,0.43333333333333335,en,0,3,CFIN_AU,,,stergaard_leif,"Århus, Denmark",
1152096473636622336,Fri Jul 19 06:02:58 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Heart disease can be connected with many other illnesses. Hear how Barrie adapted after suffering a #Stroke and atr… https://t.co/6KwwGCd4cv,Heart disease connected many illnesses Hear Barrie adapted suffering Stroke atr… https //t.co/6KwwGCd4cv,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,0,AdvantageAcc,False,Stroke,,UK,
1152096012397424640,Fri Jul 19 06:01:08 +0000 2019,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Prepping for podcasts is hard work. Sometimes we have to outsource preliminary research to a segment producer like… https://t.co/N1y9W1HVM7,Prepping podcasts hard work Sometimes outsource preliminary research segment producer like… https //t.co/N1y9W1HVM7,"Sentiment(polarity=-0.2916666666666667, subjectivity=0.5416666666666666)",-0.2916666666666667,0.5416666666666666,en,0,0,CurrentlyBill,False,,,"Seattle, WA","[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]"
1152095959876284416,Fri Jul 19 06:00:56 +0000 2019,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","What is life after Heart Transplant Surgery like?
Learn more: 
https://t.co/ZeLh9qNVTx
https://t.co/g963C4Bd4H… https://t.co/DJKiUVjylW",What life Heart Transplant Surgery like Learn https //t.co/ZeLh9qNVTx https //t.co/g963C4Bd4H… https //t.co/DJKiUVjylW,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,knowmadic_in,False,,,,
1152095805882454016,Fri Jul 19 06:00:19 +0000 2019,"<a href=""https://smarterqueue.com"" rel=""nofollow"">SmarterQueue</a>",Heart disease can be connected with many other illnesses. We hear how Barrie adapted after suffering a #Stroke and… https://t.co/COaRvkgiwM,Heart disease connected many illnesses We hear Barrie adapted suffering Stroke and… https //t.co/COaRvkgiwM,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,3,0,TheBHF,False,Stroke,,"London, UK",
1152094991973376001,Fri Jul 19 05:57:05 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @signagnststroke: Follow Sign Against Stroke to keep up-to-date with the new research and latest discussions concerning #stroke &amp; atrial…,RT signagnststroke Follow Sign Against Stroke keep up-to-date new research latest discussions concerning stroke amp atrial…,"Sentiment(polarity=0.3181818181818182, subjectivity=0.6772727272727272)",0.3181818181818182,0.6772727272727272,en,0,57,Peridot1848,,stroke,signagnststroke,"Calgary, AB",
1152094219072364544,Fri Jul 19 05:54:01 +0000 2019,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",""" Once you have begun to understand your cravings it will be easier to understand them and have a better understand… https://t.co/HHfnHKBLA5",`` Once begun understand cravings easier understand better understand… https //t.co/HHfnHKBLA5,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,0,famphy1,False,,,"Gurgaon, India",
1152091739848499201,Fri Jul 19 05:44:10 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @KPbewelldoc: ☀️This important research shows that both systolic and diastolic blood pressure numbers are important to determine heart a…,RT KPbewelldoc ☀️This important research shows systolic diastolic blood pressure numbers important determine heart a…,"Sentiment(polarity=0.4, subjectivity=1.0)",0.4,1.0,en,0,5,neuroicudoc,,,KPbewelldoc,California,
